batch,topic,index,model,api,response_1,response_2
63,Politics & Governance,1,llama-2-70b-hf,completion,b,b
66,Politics & Governance,2,llama-2-70b-hf,completion,a,b
44,History & Archaeology,3,llama-2-70b-hf,completion,a,b
81,Social Issues & Ethics,4,llama-2-70b-hf,completion,b,b
7,Business & Finance,5,llama-2-70b-hf,completion,a,a
81,Social Issues & Ethics,6,llama-2-70b-hf,completion,a,b
84,Sports & Fitness,7,llama-2-70b-hf,completion,a,b
30,Fashion & Beauty,8,llama-2-70b-hf,completion,b,b
36,Healthcare & Medicine,9,llama-2-70b-hf,completion,b,b
78,Science & Technology,10,llama-2-70b-hf,completion,b,a
93,Travel & Tourism,11,llama-2-70b-hf,completion,a,a
77,Science & Technology,12,llama-2-70b-hf,completion,b,b
80,Social Issues & Ethics,13,llama-2-70b-hf,completion,b,a
44,History & Archaeology,14,llama-2-70b-hf,completion,a,a
21,Entertainment,15,llama-2-70b-hf,completion,b,b
58,Philosophy & Religion,16,llama-2-70b-hf,completion,a,b
11,Careers & Employment,17,llama-2-70b-hf,completion,a,b
19,Education & Learning,18,llama-2-70b-hf,completion,a,a
51,Hobbies & Leisure,19,llama-2-70b-hf,completion,a,b
1,Art & Design,20,llama-2-70b-hf,completion,b,b
32,Food & Culinary,21,llama-2-70b-hf,completion,a,b
43,History & Archaeology,22,llama-2-70b-hf,completion,b,b
7,Business & Finance,23,llama-2-70b-hf,completion,a,b
30,Fashion & Beauty,24,llama-2-70b-hf,completion,a,a
67,Psychology & Sociology,25,llama-2-70b-hf,completion,b,b
27,Fashion & Beauty,26,llama-2-70b-hf,completion,a,b
47,Hobbies & Leisure,27,llama-2-70b-hf,completion,a,a
18,Education & Learning,28,llama-2-70b-hf,completion,b,a
47,Hobbies & Leisure,29,llama-2-70b-hf,completion,a,a
75,Science & Technology,30,llama-2-70b-hf,completion,b,b
67,Psychology & Sociology,31,llama-2-70b-hf,completion,a,b
10,Business & Finance,32,llama-2-70b-hf,completion,a,b
85,Sports & Fitness,33,llama-2-70b-hf,completion,b,a
58,Philosophy & Religion,34,llama-2-70b-hf,completion,b,b
45,History & Archaeology,35,llama-2-70b-hf,completion,a,a
71,Psychology & Sociology,36,llama-2-70b-hf,completion,a,a
91,Travel & Tourism,37,llama-2-70b-hf,completion,b,a
58,Philosophy & Religion,38,llama-2-70b-hf,completion,a,b
17,Education & Learning,39,llama-2-70b-hf,completion,a,b
85,Sports & Fitness,40,llama-2-70b-hf,completion,a,a
45,History & Archaeology,41,llama-2-70b-hf,completion,b,a
37,Healthcare & Medicine,42,llama-2-70b-hf,completion,a,b
79,Social Issues & Ethics,43,llama-2-70b-hf,completion,b,a
35,Food & Culinary,44,llama-2-70b-hf,completion,b,a
13,Careers & Employment,45,llama-2-70b-hf,completion,b,a
17,Education & Learning,46,llama-2-70b-hf,completion,a,a
46,History & Archaeology,47,llama-2-70b-hf,completion,a,a
18,Education & Learning,48,llama-2-70b-hf,completion,a,a
53,Law & Legal Issues,49,llama-2-70b-hf,completion,b,a
15,Careers & Employment,50,llama-2-70b-hf,completion,b,a
83,Social Issues & Ethics,51,llama-2-70b-hf,completion,b,b
3,Art & Design,52,llama-2-70b-hf,completion,a,a
56,Law & Legal Issues,53,llama-2-70b-hf,completion,b,b
41,History & Archaeology,54,llama-2-70b-hf,completion,b,a
30,Fashion & Beauty,55,llama-2-70b-hf,completion,a,a
55,Law & Legal Issues,56,llama-2-70b-hf,completion,b,a
62,Politics & Governance,57,llama-2-70b-hf,completion,b,a
93,Travel & Tourism,58,llama-2-70b-hf,completion,a,a
27,Fashion & Beauty,59,llama-2-70b-hf,completion,a,b
74,Science & Technology,60,llama-2-70b-hf,completion,a,b
17,Education & Learning,61,llama-2-70b-hf,completion,a,a
24,Entertainment,62,llama-2-70b-hf,completion,a,a
87,Sports & Fitness,63,llama-2-70b-hf,completion,b,a
54,Law & Legal Issues,64,llama-2-70b-hf,completion,b,b
84,Sports & Fitness,65,llama-2-70b-hf,completion,b,b
11,Careers & Employment,66,llama-2-70b-hf,completion,a,b
72,Psychology & Sociology,67,llama-2-70b-hf,completion,a,b
82,Social Issues & Ethics,68,llama-2-70b-hf,completion,a,b
43,History & Archaeology,69,llama-2-70b-hf,completion,b,a
10,Business & Finance,70,llama-2-70b-hf,completion,b,b
64,Politics & Governance,71,llama-2-70b-hf,completion,a,b
54,Law & Legal Issues,72,llama-2-70b-hf,completion,a,b
39,Healthcare & Medicine,73,llama-2-70b-hf,completion,a,b
43,History & Archaeology,74,llama-2-70b-hf,completion,a,b
5,Art & Design,75,llama-2-70b-hf,completion,b,a
80,Social Issues & Ethics,76,llama-2-70b-hf,completion,b,a
86,Sports & Fitness,77,llama-2-70b-hf,completion,b,a
11,Careers & Employment,78,llama-2-70b-hf,completion,b,b
90,Travel & Tourism,79,llama-2-70b-hf,completion,a,a
82,Social Issues & Ethics,80,llama-2-70b-hf,completion,b,b
32,Food & Culinary,81,llama-2-70b-hf,completion,b,a
69,Psychology & Sociology,82,llama-2-70b-hf,completion,a,a
51,Hobbies & Leisure,83,llama-2-70b-hf,completion,a,a
81,Social Issues & Ethics,84,llama-2-70b-hf,completion,b,a
66,Politics & Governance,85,llama-2-70b-hf,completion,b,a
27,Fashion & Beauty,86,llama-2-70b-hf,completion,a,b
48,Hobbies & Leisure,87,llama-2-70b-hf,completion,a,b
68,Psychology & Sociology,88,llama-2-70b-hf,completion,a,b
52,Law & Legal Issues,89,llama-2-70b-hf,completion,b,b
18,Education & Learning,90,llama-2-70b-hf,completion,b,a
54,Law & Legal Issues,91,llama-2-70b-hf,completion,b,b
50,Hobbies & Leisure,92,llama-2-70b-hf,completion,a,a
74,Science & Technology,93,llama-2-70b-hf,completion,b,b
22,Entertainment,94,llama-2-70b-hf,completion,a,b
68,Psychology & Sociology,95,llama-2-70b-hf,completion,b,a
63,Politics & Governance,96,llama-2-70b-hf,completion,b,a
22,Entertainment,97,llama-2-70b-hf,completion,a,b
51,Hobbies & Leisure,98,llama-2-70b-hf,completion,b,a
29,Fashion & Beauty,99,llama-2-70b-hf,completion,b,a
43,History & Archaeology,100,llama-2-70b-hf,completion,b,b
45,History & Archaeology,101,llama-2-70b-hf,completion,b,a
23,Entertainment,102,llama-2-70b-hf,completion,a,b
47,Hobbies & Leisure,103,llama-2-70b-hf,completion,b,b
83,Social Issues & Ethics,104,llama-2-70b-hf,completion,a,a
2,Art & Design,105,llama-2-70b-hf,completion,b,b
19,Education & Learning,106,llama-2-70b-hf,completion,a,b
73,Science & Technology,107,llama-2-70b-hf,completion,a,b
55,Law & Legal Issues,108,llama-2-70b-hf,completion,a,a
61,Philosophy & Religion,109,llama-2-70b-hf,completion,a,b
38,Healthcare & Medicine,110,llama-2-70b-hf,completion,b,b
33,Food & Culinary,111,llama-2-70b-hf,completion,a,b
31,Food & Culinary,112,llama-2-70b-hf,completion,b,b
48,Hobbies & Leisure,113,llama-2-70b-hf,completion,a,a
16,Education & Learning,114,llama-2-70b-hf,completion,a,b
26,Fashion & Beauty,115,llama-2-70b-hf,completion,a,a
32,Food & Culinary,116,llama-2-70b-hf,completion,b,a
50,Hobbies & Leisure,117,llama-2-70b-hf,completion,a,a
65,Politics & Governance,118,llama-2-70b-hf,completion,a,a
57,Philosophy & Religion,119,llama-2-70b-hf,completion,b,b
60,Philosophy & Religion,120,llama-2-70b-hf,completion,a,a
88,Sports & Fitness,121,llama-2-70b-hf,completion,b,a
77,Science & Technology,122,llama-2-70b-hf,completion,b,b
17,Education & Learning,123,llama-2-70b-hf,completion,a,a
53,Law & Legal Issues,124,llama-2-70b-hf,completion,a,b
22,Entertainment,125,llama-2-70b-hf,completion,b,b
19,Education & Learning,126,llama-2-70b-hf,completion,a,b
22,Entertainment,127,llama-2-70b-hf,completion,a,a
91,Travel & Tourism,128,llama-2-70b-hf,completion,a,a
10,Business & Finance,129,llama-2-70b-hf,completion,a,b
69,Psychology & Sociology,130,llama-2-70b-hf,completion,b,a
55,Law & Legal Issues,131,llama-2-70b-hf,completion,b,b
4,Art & Design,132,llama-2-70b-hf,completion,b,b
18,Education & Learning,133,llama-2-70b-hf,completion,b,b
18,Education & Learning,134,llama-2-70b-hf,completion,b,b
63,Politics & Governance,135,llama-2-70b-hf,completion,b,b
23,Entertainment,136,llama-2-70b-hf,completion,a,a
37,Healthcare & Medicine,137,llama-2-70b-hf,completion,a,b
24,Entertainment,138,llama-2-70b-hf,completion,a,b
29,Fashion & Beauty,139,llama-2-70b-hf,completion,b,a
46,History & Archaeology,140,llama-2-70b-hf,completion,a,b
70,Psychology & Sociology,141,llama-2-70b-hf,completion,a,a
13,Careers & Employment,142,llama-2-70b-hf,completion,a,b
61,Philosophy & Religion,143,llama-2-70b-hf,completion,b,b
25,Entertainment,144,llama-2-70b-hf,completion,a,b
80,Social Issues & Ethics,145,llama-2-70b-hf,completion,b,a
75,Science & Technology,146,llama-2-70b-hf,completion,a,a
40,Healthcare & Medicine,147,llama-2-70b-hf,completion,a,a
59,Philosophy & Religion,148,llama-2-70b-hf,completion,a,a
19,Education & Learning,149,llama-2-70b-hf,completion,a,b
87,Sports & Fitness,150,llama-2-70b-hf,completion,a,b
14,Careers & Employment,151,llama-2-70b-hf,completion,b,a
24,Entertainment,152,llama-2-70b-hf,completion,b,a
80,Social Issues & Ethics,153,llama-2-70b-hf,completion,b,a
92,Travel & Tourism,154,llama-2-70b-hf,completion,a,a
1,Art & Design,155,llama-2-70b-hf,completion,b,b
23,Entertainment,156,llama-2-70b-hf,completion,a,b
78,Science & Technology,157,llama-2-70b-hf,completion,b,a
64,Politics & Governance,158,llama-2-70b-hf,completion,a,a
2,Art & Design,159,llama-2-70b-hf,completion,b,b
67,Psychology & Sociology,160,llama-2-70b-hf,completion,b,a
67,Psychology & Sociology,161,llama-2-70b-hf,completion,a,b
87,Sports & Fitness,162,llama-2-70b-hf,completion,a,b
79,Social Issues & Ethics,163,llama-2-70b-hf,completion,b,b
10,Business & Finance,164,llama-2-70b-hf,completion,a,b
73,Science & Technology,165,llama-2-70b-hf,completion,a,b
89,Travel & Tourism,166,llama-2-70b-hf,completion,a,b
76,Science & Technology,167,llama-2-70b-hf,completion,b,b
38,Healthcare & Medicine,168,llama-2-70b-hf,completion,a,b
72,Psychology & Sociology,169,llama-2-70b-hf,completion,b,a
15,Careers & Employment,170,llama-2-70b-hf,completion,a,b
79,Social Issues & Ethics,171,llama-2-70b-hf,completion,a,a
86,Sports & Fitness,172,llama-2-70b-hf,completion,a,a
