batch,topic,index,sample,model,api,response_1,logprobs_1a,logprobs_1b,response_2,logprobs_2a,logprobs_2b
61,Philosophy & Religion,687,1,gpt-3.5-turbo,chat,a,-0.0033294493,,b,-4.6749387,-0.013365037
37,Healthcare & Medicine,443,2,gpt-3.5-turbo,chat,a,-0.0084357355,-4.9337,b,-5.5912924,-0.0038824999
93,Travel & Tourism,393,3,gpt-3.5-turbo,chat,a,-0.0005981889,,a,-0.008589161,
9,Business & Finance,245,4,gpt-3.5-turbo,chat,a,-0.1237822,-2.1515665,b,-3.3842378,-0.034609426
6,Business & Finance,522,5,gpt-3.5-turbo,chat,a,-0.6151059,-0.7924264,a,-0.026551543,-3.656871
91,Travel & Tourism,128,6,gpt-3.5-turbo,chat,b,-2.542222,-0.090670615,b,,-0.017732989
86,Sports & Fitness,681,7,gpt-3.5-turbo,chat,a,-0.0726984,-2.6852129,b,-5.2084603,-0.0081732785
61,Philosophy & Religion,871,8,gpt-3.5-turbo,chat,a,-0.0074586077,-5.225507,b,,-0.004143219
7,Business & Finance,539,9,gpt-3.5-turbo,chat,a,-0.006214355,,a,-0.009261085,-4.7772703
11,Careers & Employment,862,10,gpt-3.5-turbo,chat,a,-0.0018534352,,a,-0.00050501566,
48,Hobbies & Leisure,274,11,gpt-3.5-turbo,chat,a,-0.003815392,,b,-3.262601,-0.039931305
74,Science & Technology,249,12,gpt-3.5-turbo,chat,a,-0.0042815153,-5.5616755,a,-0.001424641,-6.6734886
56,Law & Legal Issues,53,13,gpt-3.5-turbo,chat,a,-0.00026908406,,a,-0.00035048186,
47,Hobbies & Leisure,712,14,gpt-3.5-turbo,chat,a,-0.434302,-1.046105,a,-0.18323465,-1.7880416
10,Business & Finance,373,15,gpt-3.5-turbo,chat,a,-0.008189831,-5.2330832,a,-0.015016415,-4.753422
38,Healthcare & Medicine,813,16,gpt-3.5-turbo,chat,b,,-0.0040812474,b,-1.9518387,-0.15683098
51,Hobbies & Leisure,865,17,gpt-3.5-turbo,chat,a,-0.2043971,-1.7504615,a,-0.16552018,-1.8839021
