batch,topic,index,sample,model,api,response_1,logprobs_1a,logprobs_1b,response_2,logprobs_2a,logprobs_2b
20,Education & Learning,799,1,gpt-4,chat,a,-4.0246043e-05,,a,-0.0001277342,
62,Politics & Governance,755,2,gpt-4,chat,a,-0.00013285996,,a,-0.00031663533,
3,Art & Design,52,3,gpt-4,chat,a,-3.22594e-05,,b,,-0.00046391605
93,Travel & Tourism,727,4,gpt-4,chat,b,-4.6091905,-0.016413325,b,,-0.00014203864
93,Travel & Tourism,283,5,gpt-4,chat,a,-0.0013430892,,a,-0.00085191673,
12,Careers & Employment,736,6,gpt-4,chat,a,-0.002803918,,a,-7.302705e-05,
83,Social Issues & Ethics,538,7,gpt-4,chat,a,-0.112966694,,a,-0.047260165,
9,Business & Finance,306,8,gpt-4,chat,a,-0.00019650738,,a,-0.00037311585,-8.413991
76,Science & Technology,694,9,gpt-4,chat,a,-0.0003582264,,a,-0.00016778296,
72,Psychology & Sociology,726,10,gpt-4,chat,a,-0.01741897,,b,-4.997751,-0.010587785
16,Education & Learning,767,11,gpt-4,chat,a,-0.000665495,-7.9069157,a,-0.0007071906,
12,Careers & Employment,398,12,gpt-4,chat,a,-0.0003463097,,a,-9.72254e-05,
11,Careers & Employment,65,13,gpt-4,chat,a,-0.0011103284,,a,-0.00015205175,-9.279933
31,Food & Culinary,557,14,gpt-4,chat,a,-0.0002074741,,a,-0.0017747845,
34,Food & Culinary,519,15,gpt-4,chat,a,-0.0045453506,,a,-0.82727885,-1.0450847
90,Travel & Tourism,644,16,gpt-4,chat,a,-0.00012892624,,a,-0.00025073037,
90,Travel & Tourism,77,17,gpt-4,chat,b,,-0.0013274992,b,-6.9115515,-0.0018683063
43,History & Archaeology,72,18,gpt-4,chat,b,,-0.08282876,b,-0.86547,-0.5720778
1,Art & Design,349,19,gpt-4,chat,a,-0.0024884997,,b,,-0.0029698573
17,Education & Learning,457,20,gpt-4,chat,a,-0.00075983827,,a,-0.00031091354,
45,History & Archaeology,259,21,gpt-4,chat,a,-0.019415785,-4.1469946,b,,-0.013240815
92,Travel & Tourism,278,22,gpt-4,chat,b,,-0.0013801139,b,,-0.0010119688
17,Education & Learning,39,23,gpt-4,chat,a,-0.00027527902,,a,-0.00010854974,
63,Politics & Governance,557,24,gpt-4,chat,a,-0.9654124,-1.0999796,a,-0.021591956,-3.9812038
31,Food & Culinary,873,25,gpt-4,chat,a,-0.0063849417,,a,-0.23109879,
47,Hobbies & Leisure,608,26,gpt-4,chat,b,,-0.11951516,b,,-0.033954684
19,Education & Learning,843,27,gpt-4,chat,a,-0.00017612721,,b,,-0.0012721391
8,Business & Finance,746,28,gpt-4,chat,b,,-0.006150854,b,,-0.0008450066
39,Healthcare & Medicine,527,29,gpt-4,chat,a,-0.002445931,-6.593003,b,,-0.007557048
4,Art & Design,127,30,gpt-4,chat,a,-0.0028433912,,b,,-0.09932219
30,Fashion & Beauty,53,31,gpt-4,chat,a,-1.0852785,,a,-0.057565697,
13,Careers & Employment,865,32,gpt-4,chat,a,-0.0003799105,,a,-0.00029780483,
66,Politics & Governance,2,33,gpt-4,chat,a,-0.0012574954,,a,-0.35073173,-1.3843354
16,Education & Learning,548,34,gpt-4,chat,a,-3.333223e-05,,a,-7.4695905e-05,
78,Science & Technology,740,35,gpt-4,chat,b,,-0.01988101,a,-0.0046681687,
85,Sports & Fitness,673,36,gpt-4,chat,a,-0.005484541,,b,,-0.0032985553
39,Healthcare & Medicine,260,37,gpt-4,chat,a,-0.005988282,,a,-0.4648355,-1.0066351
84,Sports & Fitness,680,38,gpt-4,chat,a,-0.001756695,,a,-0.0015921076,
64,Politics & Governance,329,39,gpt-4,chat,b,-4.375797,-0.02389472,b,-4.714,-0.013463599
32,Food & Culinary,526,40,gpt-4,chat,a,-0.022887496,,b,,-0.010413089
19,Education & Learning,439,41,gpt-4,chat,a,-0.00010676169,,a,-5.705376e-05,
25,Entertainment,430,42,gpt-4,chat,a,-0.0005429041,,a,-0.022753153,-4.4062524
76,Science & Technology,419,43,gpt-4,chat,a,-0.00011749002,,a,-0.00014025059,
79,Social Issues & Ethics,41,44,gpt-4,chat,a,-0.0023944406,,a,-0.0011891605,
81,Social Issues & Ethics,190,45,gpt-4,chat,a,-0.0023113114,,b,,-0.8982451
90,Travel & Tourism,710,46,gpt-4,chat,a,-0.00019531534,,a,-0.005781019,
56,Law & Legal Issues,579,47,gpt-4,chat,a,-0.00028100077,,a,-7.016616e-05,
12,Careers & Employment,539,48,gpt-4,chat,a,-0.0015242677,,a,-8.053688e-05,
43,History & Archaeology,92,49,gpt-4,chat,a,-0.0017174238,,a,-0.0024420046,
3,Art & Design,372,50,gpt-4,chat,a,-0.00053659,,b,,-0.0009027653
54,Law & Legal Issues,83,51,gpt-4,chat,a,-0.00010998019,,a,-9.388769e-05,
39,Healthcare & Medicine,788,52,gpt-4,chat,a,-0.05690071,,b,,-0.012569458
25,Entertainment,175,53,gpt-4,chat,a,-0.0004158953,,a,-0.0035898564,
57,Philosophy & Religion,401,54,gpt-4,chat,a,-0.22119877,,a,-0.053481914,
62,Politics & Governance,408,55,gpt-4,chat,a,-0.00019638817,,a,-0.0001688558,
68,Psychology & Sociology,80,56,gpt-4,chat,a,-0.00018304103,,a,-0.07540693,
47,Hobbies & Leisure,258,57,gpt-4,chat,a,-0.063992426,-3.1393576,a,-0.0010871129,
55,Law & Legal Issues,515,58,gpt-4,chat,a,-0.0004286428,,a,-0.00029863926,
14,Careers & Employment,499,59,gpt-4,chat,a,-0.0001558626,,a,-0.00036216015,
50,Hobbies & Leisure,276,60,gpt-4,chat,a,-0.02510195,,b,,-0.07118317
51,Hobbies & Leisure,823,61,gpt-4,chat,a,-0.18331325,,a,-0.003212415,
91,Travel & Tourism,36,62,gpt-4,chat,a,-0.0029066314,,b,,-0.0034157052
22,Entertainment,664,63,gpt-4,chat,b,,-0.007929196,b,,-0.0009675608
90,Travel & Tourism,224,64,gpt-4,chat,a,-8.780831e-05,,a,-0.002118735,
52,Law & Legal Issues,797,65,gpt-4,chat,a,-0.00010521204,,a,-0.00011081461,
10,Business & Finance,840,66,gpt-4,chat,a,-0.0002515648,,a,-0.0030062273,
89,Travel & Tourism,238,67,gpt-4,chat,a,-0.008724483,,b,,-0.076204106
71,Psychology & Sociology,577,68,gpt-4,chat,a,-0.007023319,,a,-0.0028095099,
63,Politics & Governance,786,69,gpt-4,chat,a,-0.02321065,-3.8818095,a,-0.010551575,
44,History & Archaeology,296,70,gpt-4,chat,a,-0.00015109812,,b,,-0.0005059693
37,Healthcare & Medicine,602,71,gpt-4,chat,a,-0.0012121411,,a,-0.05419629,
11,Careers & Employment,591,72,gpt-4,chat,a,-0.00015217095,,a,-0.000107715314,
57,Philosophy & Religion,424,73,gpt-4,chat,a,-0.0013938076,,a,-0.00049619825,
49,Hobbies & Leisure,751,74,gpt-4,chat,a,-0.0037324992,,a,-0.0010450744,
86,Sports & Fitness,159,75,gpt-4,chat,b,-5.75936,-0.0040995353,b,,-0.00086644123
21,Entertainment,674,76,gpt-4,chat,a,-0.004654761,,b,,-0.24844275
83,Social Issues & Ethics,92,77,gpt-4,chat,b,,-0.0029721148,b,,-0.00022499338
28,Fashion & Beauty,759,78,gpt-4,chat,b,-0.8908416,-0.5736724,b,,-0.03257559
64,Politics & Governance,784,79,gpt-4,chat,a,-0.00058210373,,a,-0.00024311233,
22,Entertainment,428,80,gpt-4,chat,a,-0.0004251932,,a,-0.0033585625,
84,Sports & Fitness,738,81,gpt-4,chat,a,-0.0086450605,,a,-0.0028805956,
33,Food & Culinary,777,82,gpt-4,chat,a,-0.005653587,,b,,-0.001405948
53,Law & Legal Issues,766,83,gpt-4,chat,a,-6.194111e-05,,a,-0.00026848805,
26,Fashion & Beauty,102,84,gpt-4,chat,a,-0.12663428,-2.1356466,b,,-0.0016849361
60,Philosophy & Religion,106,85,gpt-4,chat,a,-0.0021094554,,b,-3.060389,-0.050436396
74,Science & Technology,295,86,gpt-4,chat,a,-0.0008344047,,a,-0.0009047918,
54,Law & Legal Issues,531,87,gpt-4,chat,a,-7.696077e-05,,a,-6.0153056e-05,
46,History & Archaeology,124,88,gpt-4,chat,a,-0.0022370897,,a,-0.11104699,-2.3493989
91,Travel & Tourism,351,89,gpt-4,chat,a,-0.004589503,,b,,-0.061022706
74,Science & Technology,230,90,gpt-4,chat,a,-0.00049393706,,a,-0.0032616076,
37,Healthcare & Medicine,726,91,gpt-4,chat,a,-0.0042081596,,b,,-0.0025476008
87,Sports & Fitness,620,92,gpt-4,chat,a,-7.8033605e-05,,b,-0.83676547,-0.6152422
65,Politics & Governance,631,93,gpt-4,chat,a,-0.00021509947,,a,-0.0015464067,
68,Psychology & Sociology,187,94,gpt-4,chat,a,-0.0027713554,,a,-0.009478387,
65,Politics & Governance,183,95,gpt-4,chat,a,-0.00030984072,,a,-0.036027357,
26,Fashion & Beauty,661,96,gpt-4,chat,a,-0.03129687,-3.5331166,b,,-0.00784723
18,Education & Learning,27,97,gpt-4,chat,a,-0.0021801195,,b,,-0.0017588368
2,Art & Design,613,98,gpt-4,chat,a,-0.00018995117,-8.67488,a,-8.184812e-05,-9.511438
50,Hobbies & Leisure,158,99,gpt-4,chat,a,-8.7212284e-05,,a,-0.0018122714,
3,Art & Design,380,100,gpt-4,chat,a,-0.00019293126,,b,-6.6577163,-0.001466177
16,Education & Learning,179,101,gpt-4,chat,a,-0.00010616567,,a,-4.6802244e-05,
71,Psychology & Sociology,580,102,gpt-4,chat,a,-0.0008202305,,a,-0.0018382027,
47,Hobbies & Leisure,647,103,gpt-4,chat,b,,-0.005894311,b,,-0.012725543
91,Travel & Tourism,561,104,gpt-4,chat,b,,-0.0013801139,b,,-0.0015973415
