batch,topic,index,sample,model,api,response_1,logprobs_1a,logprobs_1b,response_2,logprobs_2a,logprobs_2b
61,Philosophy & Religion,358,1,davinci-002,chat,a,-0.42230886,-1.065753,a,-0.41064718,-1.0883281
19,Education & Learning,303,2,davinci-002,chat,a,-0.3823487,-1.1465126,a,-0.4896806,-0.94887096
54,Law & Legal Issues,378,3,davinci-002,chat,a,-0.3238126,-1.2851316,b,-1.2284954,-0.34634662
13,Careers & Employment,892,4,davinci-002,chat,b,-0.8987633,-0.52268374,b,-1.1946268,-0.36070734
7,Business & Finance,314,5,davinci-002,chat,a,-0.32338125,-1.2862604,b,-0.89058715,-0.52833587
3,Art & Design,218,6,davinci-002,chat,a,-0.28088754,-1.4069595,a,-0.6754706,-0.7111418
85,Sports & Fitness,881,7,davinci-002,chat,a,-0.35100803,-1.217322,a,-0.23087198,-1.579108
34,Food & Culinary,220,8,davinci-002,chat,a,-0.19819866,-1.7159485,b,-1.1986701,-0.35895616
15,Careers & Employment,807,9,davinci-002,chat,b,-1.2969466,-0.31933126,a,-0.2864205,-1.3900887
10,Business & Finance,70,10,davinci-002,chat,a,-0.38077328,-1.149904,b,-0.7707242,-0.6211575
32,Food & Culinary,814,11,davinci-002,chat,b,-2.111589,-0.1290222,b,-2.1800613,-0.11994939
68,Psychology & Sociology,206,12,davinci-002,chat,a,-0.25684103,-1.4849714,a,-0.358433,-1.1998827
89,Travel & Tourism,312,13,davinci-002,chat,b,-1.2185979,-0.350472,a,-0.19922096,-1.7112982
46,History & Archaeology,433,14,davinci-002,chat,a,-0.24307108,-1.5334764,a,-0.13494486,-2.069603
2,Art & Design,668,15,davinci-002,chat,b,-1.078048,-0.41590813,b,-1.0794957,-0.41516227
18,Education & Learning,133,16,davinci-002,chat,a,-0.2576735,-1.4821341,a,-0.3576741,-1.2016454
61,Philosophy & Religion,675,17,davinci-002,chat,a,-0.15409511,-1.9462438,a,-0.11723128,-2.2016506
40,Healthcare & Medicine,255,18,davinci-002,chat,a,-0.16810682,-1.8660324,a,-0.20090513,-1.7036936
10,Business & Finance,712,19,davinci-002,chat,b,-0.79317635,-0.60222024,b,-0.85702425,-0.5523825
41,History & Archaeology,835,20,davinci-002,chat,a,-0.6507454,-0.73742676,a,-0.23832186,-1.5509287
43,History & Archaeology,483,21,davinci-002,chat,a,-0.23779741,-1.5528799,b,-1.6437016,-0.21475796
30,Fashion & Beauty,751,22,davinci-002,chat,b,-1.487504,-0.25610062,a,-0.35452434,-1.2090089
52,Law & Legal Issues,272,23,davinci-002,chat,a,-0.33373192,-1.2596467,b,-0.83056915,-0.5723485
45,History & Archaeology,505,24,davinci-002,chat,b,-1.4182978,-0.27723792,a,-0.25970194,-1.4752629
89,Travel & Tourism,164,25,davinci-002,chat,b,-1.3989333,-0.28350434,a,-0.42554864,-1.0596162
86,Sports & Fitness,251,26,davinci-002,chat,a,-0.33465204,-1.2573282,a,-0.41190645,-1.0858529
4,Art & Design,475,27,davinci-002,chat,b,-0.87573767,-0.53880453,a,-0.1091562,-2.2690568
68,Psychology & Sociology,544,28,davinci-002,chat,a,-0.4448857,-1.0241475,a,-0.6417557,-0.74732363
18,Education & Learning,489,29,davinci-002,chat,b,-1.4123768,-0.27913702,a,-0.30855134,-1.326179
25,Entertainment,183,30,davinci-002,chat,b,-1.377816,-0.2905243,b,-1.2771358,-0.3268871
65,Politics & Governance,640,31,davinci-002,chat,b,-1.2558136,-0.3352546,b,-0.95898104,-0.4833455
84,Sports & Fitness,682,32,davinci-002,chat,b,-0.72210586,-0.66500366,a,-0.3671365,-1.1799798
78,Science & Technology,741,33,davinci-002,chat,b,-1.2451448,-0.33953577,b,-1.0374672,-0.43749934
9,Business & Finance,294,34,davinci-002,chat,a,-0.16056733,-1.9082518,a,-0.1802801,-1.80203
58,Philosophy & Religion,38,35,davinci-002,chat,a,-0.17405796,-1.8341341,a,-0.50730294,-0.92159814
27,Fashion & Beauty,678,36,davinci-002,chat,b,-1.8678125,-0.1677812,b,-1.3655512,-0.29469323
56,Law & Legal Issues,533,37,davinci-002,chat,a,-0.4722436,-0.97710735,b,-0.8179419,-0.5822127
58,Philosophy & Religion,777,38,davinci-002,chat,a,-0.19053134,-1.7516924,a,-0.36120898,-1.1934729
68,Psychology & Sociology,93,39,davinci-002,chat,b,-0.7247418,-0.6625203,b,-0.95941156,-0.48307794
38,Healthcare & Medicine,582,40,davinci-002,chat,b,-0.84573334,-0.5607907,b,-0.80016714,-0.5964814
